issue_type,location_type,duration_days,description,priority
drainage,alley,10,Standing water near drain after rain,high
pothole,residential,0,Deep pothole causing vibration to vehicles. causing accidents,high
streetlight,alley,3,"Streetlight intermittent, safety concern. low priority",medium
garbage,alley,14,Scattered trash on street after collection missed,high
streetlight,main_road,20,Pole lamp broken and leaning. low priority,medium
pothole,main_road,4,Small pothole near the curb. hazardous,high
drainage,residential,6,"Open drainage cover, dangerous for pedestrians",high
drainage,main_road,1,"Open drainage cover, dangerous for pedestrians. low priority",low
garbage,residential,33,Scattered trash on street after collection missed. urgent,high
streetlight,main_road,1,Pole lamp broken and leaning,low
streetlight,highway,20,"Streetlight not working at night, area dark",high
drainage,alley,7,Standing water near drain after rain. low priority,high
streetlight,alley,6,Pole lamp broken and leaning,medium
drainage,alley,5,Standing water near drain after rain,high
pothole,main_road,1,Multiple potholes across the lane. urgent,low
drainage,alley,1,Standing water near drain after rain. urgent,low
drainage,main_road,1,Standing water near drain after rain. immediate attention needed,low
garbage,highway,1,Illegal dumping near drainage. needs quick fix,low
pothole,residential,10,"Pothole filled with water, hidden hazard. not urgent",medium
streetlight,highway,3,Pole lamp broken and leaning. please fix soon,high
pothole,main_road,0,"Pothole filled with water, hidden hazard",low
garbage,residential,24,"Garbage dumped near sidewalk, attracting animals",high
garbage,alley,15,"Garbage dumped near sidewalk, attracting animals",high
drainage,main_road,18,Standing water near drain after rain,high
streetlight,highway,36,"Streetlight intermittent, safety concern. not urgent",high
streetlight,alley,1,"Flickering streetlight, sparks visible",high
drainage,main_road,3,"Open drainage cover, dangerous for pedestrians",medium
garbage,highway,9,Scattered trash on street after collection missed,medium
garbage,main_road,8,"Overflowing garbage bin, foul smell",high
streetlight,alley,1,"Streetlight not working at night, area dark",low
garbage,main_road,11,Pile of household waste blocking pedestrian path,high
pothole,highway,1,Small pothole near the curb,low
streetlight,alley,1,"Streetlight intermittent, safety concern",low
garbage,highway,5,Scattered trash on street after collection missed,medium
streetlight,main_road,6,"Streetlight intermittent, safety concern. low priority",medium
drainage,residential,6,"Open drainage cover, dangerous for pedestrians. low priority",high
streetlight,highway,0,Pole lamp broken and leaning. immediate attention needed,high
drainage,highway,14,Sewage backup overflowing onto street,high
streetlight,residential,2,Pole lamp broken and leaning,low
pothole,residential,0,Deep pothole causing vibration to vehicles. please fix soon,low
garbage,alley,15,Scattered trash on street after collection missed,high
drainage,main_road,21,Sewage backup overflowing onto street. causing accidents,high
pothole,alley,13,"Pothole filled with water, hidden hazard. hazardous",high
pothole,alley,11,Small pothole near the curb. low priority needs quick fix,high
streetlight,main_road,7,Pole lamp broken and leaning. immediate attention needed,medium
drainage,main_road,5,Standing water near drain after rain. hazardous,high
garbage,highway,0,"Overflowing garbage bin, foul smell. needs quick fix",high
pothole,main_road,3,"Large pothole on the road, car damage likely. urgent",medium
streetlight,highway,3,"Streetlight not working at night, area dark. urgent",high
pothole,main_road,2,Multiple potholes across the lane,low
streetlight,highway,8,"Streetlight not working at night, area dark. please fix soon",high
streetlight,residential,4,"Flickering streetlight, sparks visible",high
drainage,highway,0,"Drain clogged, water overflowing onto road",high
drainage,main_road,1,Standing water near drain after rain. urgent,low
pothole,main_road,8,Multiple potholes across the lane,high
drainage,alley,0,"Drain clogged, water overflowing onto road. low priority",high
garbage,main_road,13,Illegal dumping near drainage. immediate attention needed,high
streetlight,highway,4,Light out on the main road intersection. hazardous,high
streetlight,residential,4,"Streetlight intermittent, safety concern. needs quick fix",medium
pothole,alley,6,Small pothole near the curb,medium
garbage,main_road,12,Illegal dumping near drainage,high
garbage,main_road,2,"Overflowing garbage bin, foul smell",high
streetlight,main_road,7,"Streetlight not working at night, area dark",medium
pothole,alley,5,"Pothole filled with water, hidden hazard",medium
pothole,main_road,2,"Pothole filled with water, hidden hazard",low
pothole,main_road,14,"Large pothole on the road, car damage likely. causing accidents",high
garbage,highway,11,"Garbage dumped near sidewalk, attracting animals",high
streetlight,residential,7,Light out on the main road intersection. not urgent,medium
streetlight,main_road,13,Light out on the main road intersection. please fix soon,high
drainage,main_road,14,"Drain clogged, water overflowing onto road. urgent",high
garbage,highway,8,"Garbage dumped near sidewalk, attracting animals. low priority",medium
pothole,highway,12,Multiple potholes across the lane,high
drainage,residential,8,Drainage blocked with garbage and leaves,high
streetlight,highway,7,"Streetlight not working at night, area dark",high
pothole,alley,6,"Pothole filled with water, hidden hazard. not urgent",medium
pothole,highway,9,Deep pothole causing vibration to vehicles,high
streetlight,main_road,1,Light out on the main road intersection,low
garbage,alley,14,"Overflowing garbage bin, foul smell",high
garbage,alley,14,Illegal dumping near drainage,high
garbage,residential,0,Pile of household waste blocking pedestrian path,high
streetlight,residential,12,Pole lamp broken and leaning. urgent low priority,high
streetlight,highway,0,Pole lamp broken and leaning. not urgent,high
streetlight,alley,2,Pole lamp broken and leaning. causing accidents,high
streetlight,highway,9,"Streetlight not working at night, area dark. hazardous",high
pothole,residential,1,"Large pothole on the road, car damage likely",low
garbage,residential,11,"Overflowing garbage bin, foul smell",high
streetlight,alley,12,"Streetlight intermittent, safety concern. immediate attention needed",high
pothole,main_road,4,Small pothole near the curb,medium
streetlight,main_road,0,"Streetlight intermittent, safety concern. not urgent",low
pothole,main_road,2,Small pothole near the curb. please fix soon,low
garbage,main_road,6,Illegal dumping near drainage. immediate attention needed,high
streetlight,residential,27,"Streetlight not working at night, area dark",medium
garbage,main_road,6,Scattered trash on street after collection missed,high
streetlight,residential,2,Light out on the main road intersection,low
garbage,alley,7,Scattered trash on street after collection missed,medium
drainage,highway,5,Sewage backup overflowing onto street,high
drainage,alley,10,Standing water near drain after rain,high
garbage,highway,0,Illegal dumping near drainage. needs quick fix hazardous,high
streetlight,alley,10,Light out on the main road intersection. immediate attention needed,medium
garbage,residential,5,Scattered trash on street after collection missed,medium
drainage,alley,23,"Open drainage cover, dangerous for pedestrians. causing accidents please fix soon",high
garbage,alley,2,Illegal dumping near drainage,low
pothole,main_road,7,Deep pothole causing vibration to vehicles. urgent,medium
streetlight,main_road,18,"Streetlight not working at night, area dark",medium
pothole,highway,0,"Large pothole on the road, car damage likely. please fix soon",low
garbage,residential,19,"Overflowing garbage bin, foul smell. hazardous",high
pothole,residential,8,"Pothole filled with water, hidden hazard",medium
pothole,residential,0,Small pothole near the curb,low
drainage,alley,2,"Open drainage cover, dangerous for pedestrians. hazardous",high
streetlight,alley,8,Light out on the main road intersection. urgent,medium
streetlight,highway,0,Pole lamp broken and leaning,high
drainage,residential,6,"Open drainage cover, dangerous for pedestrians. low priority",high
pothole,highway,2,"Large pothole on the road, car damage likely",low
drainage,residential,6,Sewage backup overflowing onto street. low priority,high
pothole,main_road,0,"Pothole filled with water, hidden hazard. not urgent",low
streetlight,residential,14,"Streetlight not working at night, area dark",high
streetlight,main_road,25,"Flickering streetlight, sparks visible",high
garbage,highway,24,Scattered trash on street after collection missed,high
garbage,alley,9,Pile of household waste blocking pedestrian path,high
garbage,highway,0,"Garbage dumped near sidewalk, attracting animals",low
streetlight,alley,9,"Streetlight intermittent, safety concern",medium
streetlight,alley,0,"Streetlight not working at night, area dark",low
drainage,alley,0,"Open drainage cover, dangerous for pedestrians. causing accidents",high
streetlight,highway,2,"Streetlight not working at night, area dark. hazardous",high
garbage,residential,4,Pile of household waste blocking pedestrian path,high
streetlight,main_road,10,"Streetlight intermittent, safety concern",medium
drainage,highway,8,Drainage blocked with garbage and leaves. not urgent,high
drainage,highway,4,"Drain clogged, water overflowing onto road",high
drainage,highway,2,Drainage blocked with garbage and leaves. hazardous not urgent,high
streetlight,main_road,40,"Streetlight not working at night, area dark",medium
pothole,highway,3,Multiple potholes across the lane,medium
